Rank,Brand Name,Total Patients,Percentage,Male,Female,Male %,Female %,Age Mean,Age Range,Top Symptom,Top Symptom Count
1,esoral mups 20mg,99,29.9%,34,65,34.3%,65.7%,43.2,13-72,low back pain,35
2,sergel 20mg,53,16.0%,28,25,52.8%,47.2%,44.4,15-80,low back pain,19
3,exium mups 20mg,31,9.4%,11,19,35.5%,61.3%,46.2,14-75,low back pain,4
4,Pantonix 20mg,24,7.3%,17,7,70.8%,29.2%,50.2,16-90,arrythmia,3
5,maxpro 20mg,21,6.3%,12,9,57.1%,42.9%,43.9,12-71,iron deficiency anemia,2
6,canalia 30mg,14,4.2%,6,8,42.9%,57.1%,43.2,26-65,rheumatoid arthritis,3
7,Dexilend 30mg,11,3.3%,9,2,81.8%,18.2%,59.5,44-76,mi,3
8,lanso d 30mg,10,3.0%,6,4,60.0%,40.0%,49.3,30-83,lumber radiculopathy,2
9,othera 20mg,9,2.7%,5,4,55.6%,44.4%,44.2,28-60,joint pain,2
10,rabe 20mg,8,2.4%,4,4,50.0%,50.0%,46.8,27-66,chest pain,2
11,esonix 20mg,6,1.8%,6,0,100.0%,0.0%,48.0,22-56,Benign Paroxysmal Positional Vertigo,2
12,zasper 20mg,6,1.8%,1,5,16.7%,83.3%,40.0,25-70,pregnency,3
13,finix 20mg,5,1.5%,2,3,40.0%,60.0%,50.0,33-65,low back pain,3
14,pantomak 20mg,5,1.5%,2,3,40.0%,60.0%,49.8,25-62,chest pain,2
15,Maxpro 20mg,4,1.2%,4,0,100.0%,0.0%,55.8,52-59,coronary artery disease,3
16,maxima mups 20mg,3,0.9%,2,1,66.7%,33.3%,55.3,35-71,"exertional breathlessness, loin pain",1
17,famotack 20mg,3,0.9%,2,1,66.7%,33.3%,40.0,19-54,low back pain,1
18,remmo 20mg,2,0.6%,2,0,100.0%,0.0%,32.5,30-35,low back pain,1
19,delpraz 20mg,2,0.6%,0,2,0.0%,100.0%,55.0,54-56,"hypertension, asthma",1
20,xeldrin 20mg,2,0.6%,1,1,50.0%,50.0%,50.5,49-52,"asthma , hypertension",1
21,rabprazo 20mg,2,0.6%,1,1,50.0%,50.0%,37.5,35-40,pregnency,2
22,Finix 20mg,2,0.6%,1,1,50.0%,50.0%,52.0,32-72,mi ,1
23,esotid 20mg,2,0.6%,1,1,50.0%,50.0%,30.0,20-40,low back pain,2
24,pantonix 20mg,1,0.3%,0,1,0.0%,100.0%,43.0,43-43,low back pain,1
25,dexogut 20mg,1,0.3%,0,1,0.0%,100.0%,39.0,39-39,axial spondyloarthritis,1
26,neptor 20mg,1,0.3%,0,1,0.0%,100.0%,48.0,48-48,"thyrotoxicosis, dyslipidemia, psoriasis",1
27,dexlan 30mg,1,0.3%,0,1,0.0%,100.0%,48.0,48-48,"obesity, asthma, hypothyrodism",1
28,acifix 20,1,0.3%,0,1,0.0%,100.0%,48.0,48-48,mixed connective tissue disease,1
29,paricel 20mg,1,0.3%,0,1,0.0%,100.0%,76.0,76-76,"hypertension, ishchemic heart disease",1
30,sanbur 30mg,1,0.3%,0,1,0.0%,100.0%,76.0,76-76,"Ischemic Heart Disease, hypertension, dyslipedemia",1
