Symptom,Total Patients,Male,Female,Male %,Female %,Unique Brands,Top Brand,Top Brand Count,Top Brand %,2nd Brand,2nd Brand Count,3rd Brand,3rd Brand Count
low back pain,68,31,37,45.6%,54.4%,10,esoral mups 20mg,35,51.5%,sergel 20mg,19,exium mups 20mg,4
neck pain,23,10,13,43.5%,56.5%,2,esoral mups 20mg,20,87.0%,sergel 20mg,3,N/A,0
coronary artery disease,9,9,0,100.0%,0.0%,5,Maxpro 20mg,3,33.3%,Dexilend 30mg,3,Pantonix 20mg,1
chest pain,8,6,2,75.0%,25.0%,5,pantomak 20mg,2,25.0%,rabe 20mg,2,Pantonix 20mg,2
arrythmia,7,5,2,71.4%,28.6%,5,Pantonix 20mg,3,42.9%,Dexilend 30mg,1,Maxpro 20mg,1
pregnency,7,1,6,14.3%,85.7%,3,zasper 20mg,3,42.9%,rabprazo 20mg,2,esoral mups 20mg,2
shoulder pain,6,0,6,0.0%,100.0%,2,esoral mups 20mg,5,83.3%,finix 20mg,1,N/A,0
hypertension,6,4,2,66.7%,33.3%,5,esoral mups 20mg,2,33.3%,exium mups 20mg,1,Pantonix 20mg,1
rheumatoid arthritis,6,2,4,33.3%,66.7%,3,canalia 30mg,3,50.0%,exium mups 20mg,2,sergel 20mg,1
mi,5,5,0,100.0%,0.0%,2,Dexilend 30mg,3,60.0%,sergel 20mg,2,N/A,0
axial spondyloarthritis,5,3,2,60.0%,40.0%,4,canalia 30mg,2,40.0%,maxpro 20mg,1,dexogut 20mg,1
joint pain,5,1,4,20.0%,80.0%,3,othera 20mg,2,40.0%,sergel 20mg,2,esoral mups 20mg,1
fever,4,1,3,25.0%,75.0%,3,esoral mups 20mg,2,50.0%,sergel 20mg,1,maxpro 20mg,1
knee pain,4,2,2,50.0%,50.0%,2,esoral mups 20mg,3,75.0%,zasper 20mg,1,N/A,0
finger pain,3,3,0,100.0%,0.0%,2,esoral mups 20mg,2,66.7%,sergel 20mg,1,N/A,0
