,Total Patients,Male Count,Female Count,Male Percentage,Female Percentage,Unique Brands,Top Brand,Brand Diversity Index
low back pain,68,31,37,45.6%,54.4%,10,esoral mups 20mg,0.615
neck pain,23,10,13,43.5%,56.5%,2,esoral mups 20mg,0.559
coronary artery disease,9,9,0,100.0%,0.0%,5,Maxpro 20mg,0.910
chest pain,8,6,2,75.0%,25.0%,5,pantomak 20mg,0.969
arrythmia,7,5,2,71.4%,28.6%,5,Pantonix 20mg,0.917
pregnency,7,1,6,14.3%,85.7%,3,zasper 20mg,0.982
shoulder pain,6,0,6,0.0%,100.0%,2,esoral mups 20mg,0.650
hypertension,6,4,2,66.7%,33.3%,5,esoral mups 20mg,0.970
rheumatoid arthritis,6,2,4,33.3%,66.7%,3,canalia 30mg,0.921
mi,5,5,0,100.0%,0.0%,2,Dexilend 30mg,0.971
axial spondyloarthritis,5,3,2,60.0%,40.0%,4,canalia 30mg,0.961
joint pain,5,1,4,20.0%,80.0%,3,othera 20mg,0.960
fever,4,1,3,25.0%,75.0%,3,esoral mups 20mg,0.946
knee pain,4,2,2,50.0%,50.0%,2,esoral mups 20mg,0.811
finger pain,3,3,0,100.0%,0.0%,2,esoral mups 20mg,0.918
